layer,heldout_groups,n_eval,accuracy,precision,recall,f1,roc_auc
0,12,40,0.5,0.5,1.0,0.6666666666666666,0.5
1,12,40,0.725,0.6956521739130435,0.8,0.7441860465116279,0.8275
2,12,40,0.7,0.6666666666666666,0.8,0.7272727272727273,0.7925
3,12,40,0.575,0.5652173913043478,0.65,0.6046511627906976,0.7625
4,12,40,0.725,0.6956521739130435,0.8,0.7441860465116279,0.82
5,12,40,0.7,0.6818181818181818,0.75,0.7142857142857143,0.8049999999999999
6,12,40,0.675,0.6521739130434783,0.75,0.6976744186046512,0.7925
7,12,40,0.75,0.75,0.75,0.75,0.8
8,12,40,0.75,0.7777777777777778,0.7,0.7368421052631579,0.8175000000000001
9,12,40,0.8,0.8333333333333334,0.75,0.7894736842105263,0.85
10,12,40,0.825,0.8095238095238095,0.85,0.8292682926829268,0.8825
11,12,40,0.85,0.85,0.85,0.85,0.8949999999999999
12,12,40,0.875,0.9411764705882353,0.8,0.8648648648648649,0.9149999999999999
13,12,40,0.925,1.0,0.85,0.918918918918919,0.9025
14,12,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.9675
15,12,40,0.9,0.9444444444444444,0.85,0.8947368421052632,0.97
16,12,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.9500000000000001
17,12,40,0.875,0.8571428571428571,0.9,0.8780487804878049,0.9575
18,12,40,0.9,0.9,0.9,0.9,0.9575
19,12,40,0.9,0.9,0.9,0.9,0.9625
20,12,40,0.9,0.9,0.9,0.9,0.9625
21,12,40,0.9,0.9,0.9,0.9,0.975
22,12,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.9824999999999999
23,12,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.985
24,12,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.9824999999999999
25,12,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.9774999999999999
26,12,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.9774999999999999
27,12,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.9824999999999999
28,12,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.9725
