layer,token,token_id,direction_logit
0,Sorry,19152,0.0
0,sorry,67597,0.0
0,cannot,33260,0.0
0,can't,4814,0.0
0,unable,45928,0.0
0,refuse,1097,0.0
0,I,40,0.0
1,Sorry,19152,-0.004040590021759272
1,sorry,67597,0.0006457306444644928
1,cannot,33260,0.000613662414252758
1,can't,4814,0.023692432790994644
1,unable,45928,-0.05408642441034317
1,refuse,1097,0.014029736630618572
1,I,40,0.03292730078101158
2,Sorry,19152,0.012065883725881577
2,sorry,67597,0.02891620248556137
2,cannot,33260,-0.014073120430111885
2,can't,4814,5.303695797920227e-05
2,unable,45928,-0.021216943860054016
2,refuse,1097,0.03394247964024544
2,I,40,0.03969888389110565
3,Sorry,19152,0.03937064856290817
3,sorry,67597,0.04145905748009682
3,cannot,33260,-0.017824992537498474
3,can't,4814,-0.006598658859729767
3,unable,45928,-0.0005847560241818428
3,refuse,1097,0.017533939331769943
3,I,40,-0.00525033101439476
4,Sorry,19152,0.023429539054632187
4,sorry,67597,0.03669505938887596
4,cannot,33260,-0.005549767054617405
4,can't,4814,0.01745106466114521
4,unable,45928,-0.02685810998082161
4,refuse,1097,0.037794847041368484
4,I,40,0.005966569762676954
5,Sorry,19152,0.025709638372063637
5,sorry,67597,0.028676752001047134
5,cannot,33260,-0.023868856951594353
5,can't,4814,-0.003705129958689213
5,unable,45928,-0.017354942858219147
5,refuse,1097,0.029351241886615753
5,I,40,0.007593606133013964
6,Sorry,19152,0.007477857172489166
6,sorry,67597,0.04929646849632263
6,cannot,33260,0.020229613408446312
6,can't,4814,0.03028719872236252
6,unable,45928,0.02538171596825123
6,refuse,1097,-0.016079910099506378
6,I,40,0.02584856003522873
7,Sorry,19152,-0.008411181159317493
7,sorry,67597,0.021705320104956627
7,cannot,33260,0.0004963241517543793
7,can't,4814,0.03129223361611366
7,unable,45928,-0.00488142017275095
7,refuse,1097,-0.036576949059963226
7,I,40,0.01994466222822666
8,Sorry,19152,-0.0018035834655165672
8,sorry,67597,0.02018364518880844
8,cannot,33260,-0.023695744574069977
8,can't,4814,0.03142812103033066
8,unable,45928,0.006256967782974243
8,refuse,1097,0.0011476464569568634
8,I,40,0.012487921863794327
9,Sorry,19152,-0.02017059549689293
9,sorry,67597,0.001688830554485321
9,cannot,33260,-0.04235076531767845
9,can't,4814,0.0065768081694841385
9,unable,45928,-0.042608387768268585
