prefix_fraction,prefix_percent,layer,accuracy,f1,roc_auc,shape
0.25,25,0,0.5,0.6666666666666666,0.5,"(56, 29, 1536)"
0.25,25,1,0.44642857142857145,0.45614035087719296,0.45918367346938777,"(56, 29, 1536)"
0.25,25,2,0.42857142857142855,0.4482758620689655,0.4336734693877551,"(56, 29, 1536)"
0.25,25,3,0.4107142857142857,0.42105263157894735,0.4145408163265306,"(56, 29, 1536)"
0.25,25,4,0.44642857142857145,0.4745762711864407,0.451530612244898,"(56, 29, 1536)"
0.25,25,5,0.4642857142857143,0.5,0.4375,"(56, 29, 1536)"
0.25,25,6,0.4642857142857143,0.5161290322580645,0.47385204081632654,"(56, 29, 1536)"
0.25,25,7,0.48214285714285715,0.5084745762711864,0.48596938775510207,"(56, 29, 1536)"
0.25,25,8,0.5,0.5,0.5082908163265306,"(56, 29, 1536)"
0.25,25,9,0.5,0.5172413793103449,0.514030612244898,"(56, 29, 1536)"
0.25,25,10,0.5178571428571429,0.5263157894736842,0.5573979591836735,"(56, 29, 1536)"
0.25,25,11,0.48214285714285715,0.49122807017543857,0.49489795918367346,"(56, 29, 1536)"
0.25,25,12,0.4642857142857143,0.4642857142857143,0.5108418367346939,"(56, 29, 1536)"
0.25,25,13,0.5178571428571429,0.509090909090909,0.5255102040816326,"(56, 29, 1536)"
0.25,25,14,0.5178571428571429,0.509090909090909,0.5210459183673469,"(56, 29, 1536)"
0.25,25,15,0.5,0.5,0.4910714285714286,"(56, 29, 1536)"
0.25,25,16,0.5,0.5172413793103449,0.5089285714285714,"(56, 29, 1536)"
0.25,25,17,0.5,0.5,0.4923469387755103,"(56, 29, 1536)"
0.25,25,18,0.48214285714285715,0.5084745762711864,0.5102040816326531,"(56, 29, 1536)"
0.25,25,19,0.4642857142857143,0.5,0.4534438775510204,"(56, 29, 1536)"
0.25,25,20,0.4642857142857143,0.4827586206896552,0.44196428571428575,"(56, 29, 1536)"
0.25,25,21,0.39285714285714285,0.39285714285714285,0.41262755102040816,"(56, 29, 1536)"
0.25,25,22,0.44642857142857145,0.4918032786885246,0.42283163265306123,"(56, 29, 1536)"
0.25,25,23,0.4107142857142857,0.4406779661016949,0.39923469387755106,"(56, 29, 1536)"
0.25,25,24,0.4107142857142857,0.4406779661016949,0.4119897959183674,"(56, 29, 1536)"
0.25,25,25,0.44642857142857145,0.43636363636363634,0.42410714285714285,"(56, 29, 1536)"
0.25,25,26,0.4107142857142857,0.4,0.42219387755102045,"(56, 29, 1536)"
0.25,25,27,0.4107142857142857,0.4,0.4024234693877551,"(56, 29, 1536)"
0.25,25,28,0.4642857142857143,0.4444444444444444,0.4394132653061225,"(56, 29, 1536)"
0.5,50,0,0.5,0.6666666666666666,0.5,"(56, 29, 1536)"
0.5,50,1,0.5,0.5333333333333333,0.5433673469387754,"(56, 29, 1536)"
0.5,50,2,0.5,0.48148148148148145,0.44642857142857145,"(56, 29, 1536)"
0.5,50,3,0.42857142857142855,0.4074074074074074,0.3686224489795919,"(56, 29, 1536)"
0.5,50,4,0.48214285714285715,0.49122807017543857,0.45535714285714285,"(56, 29, 1536)"
0.5,50,5,0.39285714285714285,0.46875,0.4247448979591837,"(56, 29, 1536)"
0.5,50,6,0.375,0.4262295081967213,0.4298469387755102,"(56, 29, 1536)"
0.5,50,7,0.375,0.4067796610169492,0.38137755102040816,"(56, 29, 1536)"
0.5,50,8,0.42857142857142855,0.42857142857142855,0.41581632653061223,"(56, 29, 1536)"
0.5,50,9,0.44642857142857145,0.45614035087719296,0.45535714285714285,"(56, 29, 1536)"
0.5,50,10,0.4642857142857143,0.4642857142857143,0.4923469387755102,"(56, 29, 1536)"
0.5,50,11,0.5,0.46153846153846156,0.5573979591836735,"(56, 29, 1536)"
0.5,50,12,0.5178571428571429,0.509090909090909,0.5854591836734694,"(56, 29, 1536)"
0.5,50,13,0.5,0.46153846153846156,0.5841836734693877,"(56, 29, 1536)"
0.5,50,14,0.6428571428571429,0.6,0.7397959183673469,"(56, 29, 1536)"
0.5,50,15,0.6964285714285714,0.6792452830188679,0.7729591836734694,"(56, 29, 1536)"
0.5,50,16,0.7321428571428571,0.7169811320754716,0.8124999999999999,"(56, 29, 1536)"
0.5,50,17,0.6785714285714286,0.6896551724137931,0.8022959183673469,"(56, 29, 1536)"
0.5,50,18,0.6785714285714286,0.6785714285714286,0.778061224489796,"(56, 29, 1536)"
0.5,50,19,0.625,0.631578947368421,0.7397959183673469,"(56, 29, 1536)"
0.5,50,20,0.6071428571428571,0.6206896551724138,0.7308673469387755,"(56, 29, 1536)"
0.5,50,21,0.625,0.6440677966101694,0.7665816326530613,"(56, 29, 1536)"
0.5,50,22,0.6964285714285714,0.6909090909090909,0.7602040816326531,"(56, 29, 1536)"
0.5,50,23,0.6785714285714286,0.6538461538461539,0.7206632653061225,"(56, 29, 1536)"
0.5,50,24,0.6071428571428571,0.6071428571428571,0.7104591836734694,"(56, 29, 1536)"
0.5,50,25,0.6428571428571429,0.6296296296296297,0.6951530612244898,"(56, 29, 1536)"
0.5,50,26,0.625,0.6037735849056604,0.6683673469387754,"(56, 29, 1536)"
0.5,50,27,0.5714285714285714,0.5714285714285714,0.6479591836734693,"(56, 29, 1536)"
0.5,50,28,0.5535714285714286,0.576271186440678,0.6403061224489796,"(56, 29, 1536)"
0.75,75,0,0.5,0.6666666666666666,0.5,"(56, 29, 1536)"
0.75,75,1,0.5,0.5172413793103449,0.5216836734693877,"(56, 29, 1536)"
0.75,75,2,0.625,0.6557377049180327,0.6390306122448979,"(56, 29, 1536)"
0.75,75,3,0.5357142857142857,0.5517241379310345,0.5191326530612246,"(56, 29, 1536)"
0.75,75,4,0.42857142857142855,0.4666666666666667,0.5,"(56, 29, 1536)"
0.75,75,5,0.5,0.5333333333333333,0.4795918367346939,"(56, 29, 1536)"
0.75,75,6,0.5178571428571429,0.5423728813559322,0.4502551020408163,"(56, 29, 1536)"
0.75,75,7,0.5892857142857143,0.6229508196721312,0.5153061224489797,"(56, 29, 1536)"
0.75,75,8,0.5714285714285714,0.5862068965517241,0.5854591836734694,"(56, 29, 1536)"
0.75,75,9,0.6071428571428571,0.6071428571428571,0.5841836734693878,"(56, 29, 1536)"
0.75,75,10,0.6071428571428571,0.6071428571428571,0.6517857142857143,"(56, 29, 1536)"
0.75,75,11,0.6964285714285714,0.6792452830188679,0.7767857142857143,"(56, 29, 1536)"
0.75,75,12,0.6964285714285714,0.6909090909090909,0.7691326530612245,"(56, 29, 1536)"
0.75,75,13,0.6607142857142857,0.6545454545454545,0.7512755102040816,"(56, 29, 1536)"
0.75,75,14,0.8035714285714286,0.7659574468085106,0.8864795918367347,"(56, 29, 1536)"
0.75,75,15,0.8035714285714286,0.7755102040816326,0.9107142857142857,"(56, 29, 1536)"
0.75,75,16,0.8392857142857143,0.8235294117647058,0.9170918367346939,"(56, 29, 1536)"
0.75,75,17,0.8392857142857143,0.8363636363636363,0.8979591836734694,"(56, 29, 1536)"
0.75,75,18,0.8571428571428571,0.8461538461538461,0.8877551020408163,"(56, 29, 1536)"
0.75,75,19,0.8392857142857143,0.8235294117647058,0.8698979591836734,"(56, 29, 1536)"
0.75,75,20,0.8035714285714286,0.8,0.860969387755102,"(56, 29, 1536)"
0.75,75,21,0.8214285714285714,0.8148148148148148,0.8660714285714285,"(56, 29, 1536)"
0.75,75,22,0.8214285714285714,0.8148148148148148,0.8826530612244898,"(56, 29, 1536)"
0.75,75,23,0.8214285714285714,0.8148148148148148,0.889030612244898,"(56, 29, 1536)"
0.75,75,24,0.8392857142857143,0.8301886792452831,0.8826530612244898,"(56, 29, 1536)"
0.75,75,25,0.8392857142857143,0.8301886792452831,0.8711734693877551,"(56, 29, 1536)"
0.75,75,26,0.8214285714285714,0.8148148148148148,0.8711734693877552,"(56, 29, 1536)"
0.75,75,27,0.7857142857142857,0.7857142857142857,0.8469387755102041,"(56, 29, 1536)"
0.75,75,28,0.7857142857142857,0.7857142857142857,0.8482142857142857,"(56, 29, 1536)"
1.0,100,0,0.5,0.6666666666666666,0.5,"(56, 29, 1536)"
1.0,100,1,0.5892857142857143,0.5964912280701754,0.6415816326530612,"(56, 29, 1536)"
1.0,100,2,0.5892857142857143,0.6101694915254238,0.5931122448979592,"(56, 29, 1536)"
1.0,100,3,0.5178571428571429,0.5423728813559322,0.5114795918367347,"(56, 29, 1536)"
1.0,100,4,0.5714285714285714,0.6129032258064516,0.5956632653061225,"(56, 29, 1536)"
1.0,100,5,0.5535714285714286,0.5901639344262295,0.5548469387755102,"(56, 29, 1536)"
1.0,100,6,0.5,0.5172413793103449,0.5790816326530612,"(56, 29, 1536)"
1.0,100,7,0.625,0.6440677966101694,0.6505102040816326,"(56, 29, 1536)"
1.0,100,8,0.5357142857142857,0.5666666666666667,0.6505102040816326,"(56, 29, 1536)"
1.0,100,9,0.5714285714285714,0.6129032258064516,0.6122448979591837,"(56, 29, 1536)"
1.0,100,10,0.6071428571428571,0.6333333333333333,0.6568877551020408,"(56, 29, 1536)"
1.0,100,11,0.75,0.75,0.8418367346938775,"(56, 29, 1536)"
1.0,100,12,0.8035714285714286,0.7924528301886793,0.909438775510204,"(56, 29, 1536)"
1.0,100,13,0.8035714285714286,0.7924528301886793,0.9043367346938775,"(56, 29, 1536)"
1.0,100,14,0.9107142857142857,0.9056603773584906,0.9451530612244898,"(56, 29, 1536)"
1.0,100,15,0.9107142857142857,0.9056603773584906,0.9642857142857143,"(56, 29, 1536)"
1.0,100,16,0.9285714285714286,0.9259259259259259,0.9502551020408164,"(56, 29, 1536)"
1.0,100,17,0.9285714285714286,0.9259259259259259,0.9528061224489796,"(56, 29, 1536)"
1.0,100,18,0.9285714285714286,0.9259259259259259,0.9464285714285715,"(56, 29, 1536)"
1.0,100,19,0.9285714285714286,0.9259259259259259,0.9489795918367347,"(56, 29, 1536)"
1.0,100,20,0.9285714285714286,0.9259259259259259,0.9477040816326532,"(56, 29, 1536)"
1.0,100,21,0.9285714285714286,0.9259259259259259,0.9604591836734694,"(56, 29, 1536)"
1.0,100,22,0.9285714285714286,0.9259259259259259,0.9528061224489797,"(56, 29, 1536)"
1.0,100,23,0.9285714285714286,0.9259259259259259,0.9579081632653061,"(56, 29, 1536)"
1.0,100,24,0.9285714285714286,0.9259259259259259,0.9566326530612245,"(56, 29, 1536)"
1.0,100,25,0.9285714285714286,0.9259259259259259,0.9553571428571429,"(56, 29, 1536)"
1.0,100,26,0.9285714285714286,0.9259259259259259,0.9553571428571429,"(56, 29, 1536)"
1.0,100,27,0.9285714285714286,0.9259259259259259,0.9566326530612245,"(56, 29, 1536)"
1.0,100,28,0.9285714285714286,0.9259259259259259,0.9528061224489796,"(56, 29, 1536)"
